"","host_id","id","host_since","neighborhood_cleaned","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","review_scores_rating","review_scores_value","revenue"
"3472",10486651,2962348,2013-12-07,"The Baarsjes - Old West","Apartment","Entire home/apt",3,1,2,2,"Real Bed",150,2,40,2,98,9,12160
"3473",10495961,2047376,2013-12-08,"Center-East","House","Entire home/apt",8,3,4,4,"Real Bed",325,1,0,2,96,9,22100
"3474",10497529,2050115,2013-12-08,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",130,2,0,3,82,8,9360
"3475",10499302,2048156,2013-12-08,"Center-East","Apartment","Private room",2,1,1,1,"Real Bed",69,2,0,2,87,8,7452
"3476",10503075,2049094,2013-12-08,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,2,"Real Bed",75,1,0,3,93,9,9000
"3477",10503334,3341534,2013-12-08,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",50,1,0,3,87,8,1500
"3478",806989,1377327,2011-07-11,"The Baarsjes - Old West","Apartment","Private room",1,1,1,1,"Real Bed",54,1,0,2,100,10,432
"3479",10519461,2449160,2013-12-09,"Former East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,0,0,3,100,10,1530
"3480",10520497,2910606,2013-12-09,"Center-West","Apartment","Entire home/apt",4,1,2,4,"Real Bed",195,1,0,1,93,9,10530
"3481",10520938,4631062,2013-12-09,"Center-West","Apartment","Entire home/apt",2,0.5,0,1,"Real Bed",100,1,0,3,100,10,600
"3482",10522982,2054325,2013-12-09,"Center-East","Apartment","Entire home/apt",2,1,0,1,"Real Bed",110,2,0,3,96,10,9900
"3483",10524138,4780251,2013-12-09,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",2,1,0,1,"Real Bed",69,1,0,5,83,8,4140
"3484",10524258,2054881,2013-12-09,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,1,0,2,92,9,11440
"3485",10526642,2340752,2013-12-09,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",2,1,1,1,"Real Bed",48,1,0,1,95,9,384
"3486",10527670,2055663,2013-12-09,"North East","Apartment","Private room",2,1,1,1,"Real Bed",57,2,25,1,85,8,1938
"3487",808128,2076460,2011-07-12,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1,2,2,"Real Bed",160,2,20,4,80,8,1440
"3488",10528684,4316201,2013-12-09,"Former East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",87,1,0,3,100,10,1044
"3489",10537693,2082495,2013-12-01,"South","Apartment","Entire home/apt",3,1,1,1,"Real Bed",100,2,30,2,93,9,46800
"3490",10541040,2111445,2013-12-01,"Westerpark","Apartment","Entire home/apt",3,1,1,2,"Real Bed",95,2,40,3,91,9,11340
"3491",10545930,3057922,2013-12-01,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1,2,2,"Real Bed",120,1,0,2,94,9,21120
"3492",10545930,3278289,2013-12-01,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1,0,3,94,9,24360
"3493",10547056,2060596,2013-12-01,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,2,50,2,100,9,3360
"3494",10563612,2064644,2013-12-11,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,2,"Real Bed",185,1,0,3,99,10,23310
"3495",809767,169920,2011-07-12,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",2,1,1,1,"Real Bed",77,1,0,1,97,9,5390
"3496",10565382,2065120,2013-12-11,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",6,2,3,4,"Real Bed",299,4,25,5,93,8,9720
"3497",10565382,3203286,2013-12-11,"Pipe - Rivierenbuurt","Apartment","Private room",2,1,1,1,"Pull-out Sofa",40,1,20,2,93,9,7200
"3498",10567920,2065912,2013-12-11,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",135,1,0,2,100,10,5400
"3499",10569558,2337807,2013-12-11,"Pipe - Rivierenbuurt","Apartment","Private room",2,1,1,1,"Real Bed",50,1,20,1,92,9,3780
"3500",10585553,2070211,2013-12-12,"South","Apartment","Entire home/apt",4,1,2,4,"Real Bed",95,1,0,2,95,9,11400
"3501",10586223,2070368,2013-12-12,"Center-East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",98,2,0,2,87,9,1176
"3502",10588368,2071122,2013-12-12,"The Baarsjes - Old West","Apartment","Entire home/apt",4,2,4,5,"Real Bed",200,4,50,4,95,9,6400
"3503",811403,170223,2011-07-12,"Center-West","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",125,1,0,5,98,10,10000
